Liga,Equipo,Apodo,A–o de fundaci—n,Mascota
Liga Americana,Baltimore Orioles,Orioles,1901,The Oriole Bird
Liga Americana,Boston Red Sox,Red Sox,1901,Wally the Green Monster
Liga Americana,Chicago White Sox,White Sox,1901,Southpaw
Liga Americana,Cleveland Guardians,Guardians,1901,Desconocido
Liga Americana,Detroit Tigers,Tigers,1901,PAWS
Liga Americana,Houston Astros,Astros,1962,Orbit
Liga Americana,Kansas City Royals,Royals,1969,Sluggerrr
Liga Americana,Los Angeles Angels,Angels,1961,Rally Monkey
Liga Americana,Minnesota Twins,Twins,1901,TC Bear
Liga Americana,New York Yankees,Yankees,1901,Desconocido
Liga Americana,Oakland Athletics,A's,1901,Stomper
Liga Americana,Seattle Mariners,Mariners,1977,Mariner Moose
Liga Americana,Tampa Bay Rays,Rays,1998,Raymond
Liga Americana,Texas Rangers,Rangers,1961,Rangers Captain
Liga Americana,Toronto Blue Jays,Blue Jays,1977,Ace
Liga Nacional,Arizona Diamondbacks,D-backs,1998,Baxter the Bobcat
Liga Nacional,Atlanta Braves,Braves,1871,Blooper
Liga Nacional,Chicago Cubs,Cubs,1876,Clark
Liga Nacional,Cincinnati Reds,Reds,1882,Mr. Redlegs
Liga Nacional,Colorado Rockies,Rockies,1993,Dinger
Liga Nacional,Los Angeles Dodgers,Dodgers,1883,Desconocido
Liga Nacional,Miami Marlins,Marlins,1993,Billy the Marlin
Liga Nacional,Milwaukee Brewers,Brewers,1969,Bernie Brewer
Liga Nacional,New York Mets,Mets,1962,Mr. Met
Liga Nacional,Philadelphia Phillies,Phillies,1883,Phillie Phanatic
Liga Nacional,Pittsburgh Pirates,Pirates,1882,Pirate Parrot
Liga Nacional,San Diego Padres,Padres,1969,The Swinging Friar
Liga Nacional,San Francisco Giants,Giants,1883,Lou Seal
Liga Nacional,St. Louis Cardinals,Cardinals,1882,Fredbird
Liga Nacional,Washington Nationals,Nationals,1969,Screech
