Mes, Acciones a Realizar, Mensaje Principal
Enero, Videos en TikTok de entrenamientos, "Monty y los jugadores se preparan. ¡Sigue su rutina! #OsosMontana"
Febrero, Instagram Stories con jugadas destacadas, "¿Viste esa jugada? ¡Monty sí! #PasiónOso"
Marzo, TikTok challenge con Monty, "Haz el #MontyDanceChallenge y gana entradas para ver a Los Osos."
Abril, Publicaciones en Instagram de fans con merchandising, "Luce tu amor por Los Osos y Monty. Usa #OsosStyle y destaca."
Mayo, Videos en TikTok con trivias sobre el equipo, "¿Cuánto sabes de Los Osos y Monty? ¡Demuéstralo! #TriviaOso"
Junio, Directos en Instagram con jugadores, "Conversa con nuestros jugadores y ¡no te pierdas las apariciones sorpresa de Monty!"
Julio, Challenge en TikTok sobre el grito de la afición, "Haz ruido con el #GritoOsoChallenge. ¡Monty te está escuchando!"
Agosto, Instagram Stories mostrando detrás de cámaras, "Un día en la vida de un Oso. ¡Y Monty te lo muestra! #DíaOso"
Septiembre, Videos en TikTok sobre curiosidades del equipo, "Secretos y curiosidades de Los Osos y Monty. ¡Descúbrelos! #MisteriosOso"
Octubre, Publicaciones en Instagram sobre la afición, "Tú eres parte de esta historia. Muestra tu amor por Los Osos y Monty. #FanDelMes"
Noviembre, Resumen en TikTok de las jugadas más emocionantes, "Momentos que nos hicieron saltar con Monty. ¡Revívelos! #JugadasOsos2023"
Diciembre, Resumen en IGTV y TikTok, "Un año épico junto a Monty y Los Osos. ¡Vuelve a vivirlo! #RecuerdosOso2023"
